Date,AGRO,ALUA,BBAR,BMA,BYMA,CEPU,COME,CRES,CVH,EDN,GGAL,HARG,LOMA,MIRG,PAMP,SUPV,TECO2,TGNO4,TGSU2,TRAN,TXAR,VALO,YPFD
2020-01-02,4.215432167053223,29.156307220458984,102.45903778076172,207.85450744628906,2.8588459491729736,31.61541748046875,0.6660041809082031,35.4566535949707,319.885986328125,22.700000762939453,90.83899688720703,53.139102935791016,98.41947937011719,764.1671752929688,48.25,46.6083984375,163.31776428222656,31.458097457885742,101.57132720947266,18.606115341186523,21.004026412963867,11.603726387023926,83.78500366210938
2020-01-03,4.172197341918945,27.516265869140625,99.17888641357422,205.7961883544922,2.84078049659729,29.562467575073242,0.6394822001457214,34.859867095947266,315.436279296875,21.75,89.21424865722656,62.859676361083984,97.27851867675781,780.638427734375,48.45000076293945,46.058074951171875,162.86936950683594,30.9150447845459,101.47541046142578,18.31252670288086,20.045507431030273,11.689364433288574,84.16000366210938
2020-01-06,4.2586669921875,28.1540584564209,103.82273864746094,212.0474395751953,2.800133228302002,30.976720809936523,0.6630572080612183,35.56197738647461,320.8748474121094,22.950000762939453,92.2422103881836,62.859676361083984,99.34916687011719,807.591552734375,48.400001525878906,47.75138473510742,167.10427856445312,31.768407821655273,103.10592651367188,19.119892120361328,20.420581817626953,12.331636428833008,86.08000183105469
2020-01-07,4.280284881591797,27.971834182739258,104.81781768798828,209.18861389160156,2.800133228302002,30.70299530029297,0.648323118686676,36.439613342285156,309.0088806152344,22.75,91.57755279541016,62.859676361083984,97.6165771484375,816.5758056640625,47.54999923706055,46.058074951171875,167.55267333984375,32.31146240234375,103.72935485839844,19.450178146362305,20.503929138183594,12.75981616973877,83.79000091552734
2020-01-08,4.237049102783203,27.2429256439209,105.18637084960938,212.65737915039062,2.7007734775543213,30.109920501708984,0.6335883140563965,35.00028610229492,316.42510986328125,22.5,92.98074340820312,62.859676361083984,96.34883117675781,803.5985107421875,46.20000076293945,45.88874053955078,169.744873046875,32.3890380859375,101.85905456542969,19.22998809814453,20.212207794189453,13.102360725402832,84.33000183105469
2020-01-09,4.237049102783203,26.832916259765625,111.00960540771484,220.24270629882812,2.7323880195617676,32.02600860595703,0.6542171835899353,34.78965759277344,316.42510986328125,22.950000762939453,96.2671890258789,62.859676361083984,98.7575454711914,820.5689086914062,48.20000076293945,48.64037322998047,171.18971252441406,32.27267074584961,105.12008666992188,19.450178146362305,20.08718490600586,13.359271049499512,85.3949966430664
2020-01-10,4.2586669921875,26.559572219848633,115.35857391357422,223.4446258544922,2.7459375858306885,32.39097595214844,0.6954739093780518,36.12366485595703,353.01177978515625,23.450000762939453,98.9258804321289,62.859676361083984,99.05335998535156,868.4852905273438,48.349998474121094,50.545345306396484,174.3783416748047,33.47513961791992,107.51789855957031,19.156591415405273,20.045507431030273,13.530545234680176,85.80500030517578
2020-01-13,4.734254360198975,26.422903060913086,112.59439086914062,215.85923767089844,2.709806442260742,32.02600860595703,0.730836808681488,37.21194076538086,373.77716064453125,23.600000381469727,93.97775268554688,62.859676361083984,96.77140808105469,904.422607421875,47.5,48.55570602416992,178.56341552734375,34.44487380981445,105.9832992553711,19.193288803100586,19.253690719604492,13.616180419921875,85.26499938964844
2020-01-14,5.253077030181885,28.60962677001953,109.20364379882812,209.4173583984375,2.642061710357666,30.794239044189453,0.7337838411331177,35.56197738647461,371.79949951171875,23.149999618530273,92.79612731933594,62.859676361083984,97.6165771484375,944.8522338867188,46.04999923706055,46.94706344604492,183.545654296875,33.78544998168945,101.33154296875,18.385921478271484,20.337230682373047,13.102360725402832,85.28500366210938
2020-01-15,5.5989580154418945,29.794103622436523,103.67528533935547,200.9552764892578,2.619479179382324,29.47122573852539,0.748518705368042,36.33430480957031,392.07049560546875,22.850000381469727,90.21126556396484,62.859676361083984,97.4052734375,962.82080078125,46.400001525878906,44.95742416381836,179.31076049804688,33.74666213989258,102.14679718017578,18.606115341186523,20.795654296875,12.588544845581055,85.58000183105469
